year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,temp,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,solarradiation,solarenergy,uvindex,severerisk,cloudcover,conditions,retail_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,1,1417.64,1546.87,782.63,1620.03,1769.72,27.25,29.28,23.37,80.71,7.53,100.0,7.48,26.95,21.37,51.11,1010.92,9.89,230.91,19.92,8.34,21.19,64.23,1.81,23.23,24.83,23.25
2025,2,1379.56,1574.38,786.9,1652.63,1804.04,27.44,29.61,23.58,80.51,6.34,100.0,7.29,23.8,21.71,52.97,1010.12,9.82,254.15,21.76,8.87,22.8,60.83,1.72,23.23,24.42,22.9
2025,3,1556.2,1584.27,786.71,1657.14,1827.23,28.64,31.99,24.31,78.75,9.9,100.0,7.03,23.9,20.18,63.88,1009.38,10.0,246.04,21.16,8.67,24.2,58.72,1.51,23.63,24.83,23.38
2025,4,1546.13,1601.92,787.02,1667.8,1826.04,28.57,32.57,25.12,82.61,8.52,100.0,7.13,20.45,19.5,115.79,1009.77,9.88,224.21,19.35,7.98,28.07,65.07,1.39,23.51,25.13,24.61
2025,5,1548.94,1618.54,791.84,1678.22,1814.73,28.29,31.96,25.03,83.48,9.59,100.0,7.24,22.67,18.47,132.13,1009.16,10.22,212.51,18.36,7.59,27.92,68.91,1.46,23.7,24.89,23.62
2025,6,2052.02,1621.03,793.57,1687.94,1813.29,27.97,31.2,24.59,82.92,10.11,100.0,6.68,21.56,18.83,150.12,1009.46,9.85,213.37,18.42,7.69,27.42,70.43,1.66,23.75,24.31,23.49
2025,7,2041.3,1625.2,796.63,1691.86,1835.52,27.9,31.09,24.56,82.89,9.73,100.0,7.28,22.47,19.64,156.57,1009.4,9.88,220.49,19.01,7.93,27.82,68.82,1.4,23.58,24.22,23.41
2025,8,2024.65,1631.31,797.64,1692.5,1853.7,28.05,31.31,24.56,82.26,9.95,100.0,6.53,22.2,19.15,155.42,1009.57,9.62,220.83,19.04,8.0,26.96,69.38,1.41,23.69,23.87,23.22
2025,9,1311.98,1641.43,796.08,1694.5,1859.12,28.13,31.52,24.67,82.4,10.97,100.0,6.74,21.2,18.29,130.31,1009.15,9.64,224.5,19.34,8.16,28.81,66.71,1.41,23.65,24.15,23.65
2025,10,1333.16,1638.9,798.98,1696.52,1859.47,27.96,31.12,24.74,83.65,7.22,100.0,6.97,22.52,18.31,72.8,1008.54,9.81,208.91,18.01,7.57,27.79,65.97,1.51,23.9,23.8,24.0
2025,11,1340.09,1636.68,802.48,1704.88,1865.77,27.62,30.24,24.4,83.53,7.62,100.0,7.52,24.05,19.97,60.21,1009.13,9.72,213.23,18.36,7.77,24.58,64.76,1.69,24.06,24.3,24.09
2025,12,1418.66,1643.06,813.37,1715.77,1873.52,27.23,29.34,23.84,82.92,8.98,100.0,8.07,25.41,21.4,51.05,1010.67,9.62,216.33,18.6,7.85,21.77,66.53,1.37,23.79,24.47,24.1
2026,1,1405.08,1626.55,801.54,1689.14,1861.94,27.29,29.38,23.42,80.74,7.44,100.0,7.09,26.65,21.51,51.68,1011.0,9.83,231.91,20.01,8.4,21.45,63.74,1.79,24.33,25.18,24.58
2026,2,1359.66,1655.49,805.83,1725.14,1905.43,27.35,29.48,23.66,81.13,6.29,100.0,7.23,22.89,22.06,52.93,1010.0,9.67,256.67,21.95,8.96,23.28,60.38,1.72,24.31,24.55,24.04
2026,3,1551.14,1664.86,806.32,1728.08,1928.18,28.68,32.07,24.41,78.97,9.88,100.0,6.94,23.07,20.47,62.64,1009.28,9.9,247.89,21.31,8.74,24.58,58.01,1.5,24.74,25.06,24.58
2026,4,1539.17,1681.4,806.81,1738.71,1923.39,28.6,32.65,25.23,82.95,8.47,100.0,7.03,19.38,19.76,116.47,1009.89,9.77,225.76,19.48,8.05,28.56,64.43,1.37,24.56,25.43,26.04
2026,5,1544.08,1698.74,811.45,1748.98,1909.74,28.38,32.15,25.15,83.65,9.52,100.0,7.11,22.33,18.69,131.67,1009.09,10.15,214.45,18.52,7.67,28.23,68.09,1.45,24.76,25.14,24.79
2026,6,2041.31,1702.48,813.22,1760.39,1908.32,28.01,31.28,24.65,83.01,10.04,100.0,6.47,20.78,19.1,149.55,1009.53,9.75,215.58,18.6,7.79,27.73,69.8,1.65,24.88,24.54,24.75
2026,7,2028.94,1705.79,816.57,1763.34,1932.52,27.88,31.07,24.62,83.18,9.78,100.0,7.17,21.91,19.94,155.87,1009.39,9.78,222.36,19.17,8.01,28.18,68.27,1.39,24.67,24.5,24.65
